pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
132.58,-69.62,180.0,top,C1,GRM21BZ71E106KE15K,,C_0805_2012Metric,10uF,smt
135.625,-52.225,-90.0,top,C10,GRM155R71H104KE14D,,C_0402_1005Metric,100nF,smt
139.55,-66.8,-90.0,top,C11,GRM1555C1E100GA01D,,C_0402_1005Metric,10pF,smt
141.13,-63.73,0.0,top,C12,GRM1555C1E100GA01D,,C_0402_1005Metric,10pF,smt
143.07,-52.08,-90.0,top,C13,GRM155R71H104KE14D,,C_0402_1005Metric,100nF,smt
121.9,-53.7,180.0,top,C14,GRM21BR71E225KE11L,,C_0805_2012Metric,2u2,smt
117.525,-67.55,-90.0,top,C15,GRM21BR71E225KE11L,,C_0805_2012Metric,2u2,smt
138.47,-81.95,180.0,top,C16,GRM155R71H104KE14D,,C_0402_1005Metric,100nF,smt
137.8,-80.3,180.0,top,C17,GRM21BR71E225KE11L,,C_0805_2012Metric,2u2,smt
136.15,-77.31,-90.0,top,C18,GRM21BR71E225KE11L,,C_0805_2012Metric,2u2,smt
105.72,-63.675,180.0,bottom,C19,GRM155R71H104KE14D,,C_0402_1005Metric,100nF,smt
122.2,-55.68,90.0,top,C2,GRM155R71H104KE14D,,C_0402_1005Metric,100nF,smt
105.025,-62.2,180.0,bottom,C20,GRM21BZ71H475KE15L,,C_0805_2012Metric,4u7,smt
109.42,-60.659999,180.0,bottom,C21,GRM155R71H104KE14D,,C_0402_1005Metric,100nF,smt
120.175,-65.625,-90.0,bottom,C22,GRT31CR60J156KE01L,,C_1206_3216Metric,15uF,smt
115.6,-62.93,90.0,bottom,C23,GRM155R71H104KE14D,,C_0402_1005Metric,100nF,smt
117.75,-66.125,90.0,bottom,C24,GRT31CR60J156KE01L,,C_1206_3216Metric,15uF,smt
117.75,-70.55,-90.0,bottom,C25,GRM21BR71E225KE11L,,C_0805_2012Metric,2u2,smt
120.175,-70.1,-90.0,bottom,C26,GRM21BR71E225KE11L,,C_0805_2012Metric,2u2,smt
114.8257,-68.509999,180.0,bottom,C27,GRM21BR71E225KE11L,,C_0805_2012Metric,2u2,smt
105.0257,-65.109999,180.0,bottom,C28,GRM21BR71E225KE11L,,C_0805_2012Metric,2u2,smt
110.625,-70.4,-90.0,bottom,C29,GRM21BR71E225KE11L,,C_0805_2012Metric,2u2,smt
129.12,-55.9,0.0,top,C3,GRM155R71H104KE14D,,C_0402_1005Metric,100nF,smt
107.1,-67.55,180.0,bottom,C30,GRM21BR71E225KE11L,,C_0805_2012Metric,2u2,smt
104.4,-68.25,-90.0,bottom,C31,GRM21BR71E225KE11L,,C_0805_2012Metric,2u2,smt
107.85,-69.659999,0.0,bottom,C32,GRM21BR71E225KE11L,,C_0805_2012Metric,2u2,smt
108.04,-60.53,90.0,bottom,C33,GRM155R71H104KE14D,,C_0402_1005Metric,100nF,smt
108.5,-47.305,90.0,top,C34,GRM155R71H104KE14D,,C_0402_1005Metric,100nF,smt
105.85,-64.645,90.0,top,C35,GRM155R71H104KE14D,,C_0402_1005Metric,100nF,smt
153.65,-54.55,0.0,top,C36,GRM155R71H104KE14D,,C_0402_1005Metric,100nF,smt
134.8,-47.52,90.0,top,C37,GRM155R71H104KE14D,,C_0402_1005Metric,100nF,smt
102.6,-75.195,90.0,top,C38,GRM155R71H104KE14D,,C_0402_1005Metric,100nF,smt
121.725,-47.175,90.0,top,C39,GRM155R71H104KE14D,,C_0402_1005Metric,100nF,smt
119.77,-68.125,180.0,top,C4,GRM155R71H104KE14D,,C_0402_1005Metric,100nF,smt
137.08,-93.425,0.0,top,C40,GRM155R71H104KE14D,,C_0402_1005Metric,100nF,smt
135.175,-88.75,0.0,top,C41,GRM155R71H104KE14D,,C_0402_1005Metric,100nF,smt
135.65,-87.225,0.0,top,C42,GCM21BR71H105KA03L,,C_0805_2012Metric,1uF,smt
127.175,-86.9,-90.0,top,C43,GRM21BZ71E106KE15K,,C_0805_2012Metric,10uF,smt
125.125,-86.9,-90.0,top,C44,GRM21BZ71E106KE15K,,C_0805_2012Metric,10uF,smt
129.725,-89.425,0.0,top,C45,GCM188R71H473KA55D,,C_0603_1608Metric,47nF,smt
131.35,-93.05,90.0,top,C46,GRM21BZ71E106KE15K,,C_0805_2012Metric,10uF,smt
127.175,-83.25,90.0,top,C47,GRM21BZ71E106KE15K,,C_0805_2012Metric,10uF,smt
129.3,-93.05,-90.0,top,C48,GRM21BZ71H475KE15L,,C_0805_2012Metric,4u7,smt
